book_title,author_name,year_released,rating,ratings_count
Heartstopper: Volume Four,Alice Oseman,2021,4.67,227360
It Starts with Us,Colleen Hoover,2022,4.64,3988
Heartstopper: Volume Three,Alice Oseman,2020,4.63,273686
Kingdom of Ash,Sarah J. Maas,2018,4.62,261600
Crooked Kingdom,Leigh Bardugo,2016,4.61,477098
Heartstopper: Volume Two,Alice Oseman,2019,4.6,316062
Acheron,Sherrilyn Kenyon,2008,4.56,58019
Queen of Shadows,Sarah J. Maas,2015,4.56,412140
Empire of Storms,Sarah J. Maas,2016,4.56,343879
Heartstopper: Volume One,Alice Oseman,2018,4.53,430677
Reminders of Him,Colleen Hoover,2022,4.52,523841
House of Sky and Breath,Sarah J. Maas,2022,4.52,151116
Redeeming Love,Francine Rivers,1991,4.5,273997
Wildfire,Ilona Andrews,2017,4.5,34237
House of Earth and Blood,Sarah J. Maas,2020,4.48,312233
White Hot,Ilona Andrews,2017,4.47,38726
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,4.47,1520986
Heir of Fire,Sarah J. Maas,2014,4.46,473089
Ignite Me,Tahereh Mafi,2014,4.45,262482
The House in the Cerulean Sea,T.J. Klune,2020,4.45,358972
Kiss of Snow,Nalini Singh,2011,4.45,30080
Lover Awakened,J.R. Ward,2006,4.44,173335
Lord of Shadows,Cassandra Clare,2017,4.44,129104
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,2020,4.43,224628
Winter,Marissa Meyer,2015,4.43,245936
Demon from the Dark,Kresley Cole,2010,4.43,46053
Kings Rising,C.S. Pacat,2016,4.43,49858
Clockwork Prince,Cassandra Clare,2011,4.43,515519
A Breath of Snow and Ashes,Diana Gabaldon,2005,4.43,163691
An Echo in the Bone,Diana Gabaldon,2009,4.43,139381
A Court of Wings and Ruin,Sarah J. Maas,2017,4.43,655054
Cress,Marissa Meyer,2014,4.42,332040
Full Tilt,Emma   Scott,2016,4.42,21057
A ​Court of Silver Flames,Sarah J. Maas,2021,4.41,380727
Beard Science,Penny Reid,2016,4.41,31256
Reckless,S.C. Stephens,2013,4.41,77124
Part of Your World,Abby Jimenez,2022,4.41,54863
Lady Luck,Kristen Ashley,2011,4.41,38174
Magic Slays,Ilona Andrews,2011,4.4,70852
Lover Mine,J.R. Ward,2010,4.39,109537
Motorcycle Man,Kristen Ashley,2012,4.39,55492
Dreamfever,Karen Marie Moning,2009,4.38,98363
The Song of Achilles,Madeline Miller,2011,4.38,950167
Lothaire,Kresley Cole,2012,4.38,44918
The Song of Achilles,Madeline Miller,2011,4.38,950167
Sweet Dreams,Kristen Ashley,2011,4.38,47278
It Ends with Us,Colleen Hoover,2016,4.38,1641804
Silver Borne,Patricia Briggs,2010,4.38,102351
Voyager,Diana Gabaldon,1993,4.38,286958
Last Sacrifice,Richelle Mead,2010,4.37,275495
The Queen of Nothing,Holly Black,2019,4.37,396096
Pleasure of a Dark Prince,Kresley Cole,2010,4.37,43345
Lore Olympus: Volume One,Rachel  Smythe,2021,4.37,66132
Dance with the Devil,Sherrilyn Kenyon,2003,4.37,64073
Lady Midnight,Cassandra Clare,2016,4.37,209164
The Prince and the Dressmaker,Jen Wang,2018,4.37,87981
The Indigo Spell,Richelle Mead,2013,4.36,99921
Lover Avenged,J.R. Ward,2009,4.36,111849
Wolfsong,T.J. Klune,2016,4.36,41622
The King,J.R. Ward,2014,4.36,52334
Crown of Midnight,Sarah J. Maas,2013,4.36,554931
All Rhodes Lead Here,Mariana Zapata,2021,4.35,70129
Opposition,Jennifer L. Armentrout,2014,4.35,78823
Love and Other Words,Christina Lauren,2018,4.35,215451
Heart Bones,Colleen Hoover,2020,4.35,224754
Effortless,S.C. Stephens,2011,4.35,115071
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,2012,4.34,476866
Dark Desires After Dusk,Kresley Cole,2008,4.34,46777
Breathe,Kristen Ashley,2012,4.34,36423
Wicked Deeds on a Winter's Night,Kresley Cole,2007,4.34,53529
Drums of Autumn,Diana Gabaldon,1996,4.34,232769
Seize the Night,Sherrilyn Kenyon,2004,4.34,46888
Origin,Jennifer L. Armentrout,2013,4.34,106214
Night Play,Sherrilyn Kenyon,2004,4.34,53073
Almost Heaven,Judith McNaught,1989,4.34,26999
From Lukov with Love,Mariana Zapata,2018,4.34,144173
The Wicked King,Holly Black,2019,4.34,445996
Spirit Bound,Richelle Mead,2010,4.33,281912
Bright Side,Kim Holden,2014,4.33,45290
Archer's Voice,Mia Sheridan,2014,4.33,183482
Lover Reborn,J.R. Ward,2012,4.33,80075
The Assassin's Blade,Sarah J. Maas,2014,4.33,255753
Champion,Marie Lu,2013,4.33,199846
Cemetery Boys,Aiden Thomas,2020,4.33,63034
The Simple Wild,Becky Albertalli,2018,4.33,72371
Hothouse Flower,Krista Ritchie,2014,4.33,39279
Dragonfly in Amber,Diana Gabaldon,1992,4.33,327326
The Hunger Games,Suzanne Collins,2008,4.32,7591926
Destined for an Early Grave,Jeaniene Frost,2009,4.32,83078
Clockwork Angel,Cassandra Clare,2010,4.32,776513
Twisted Lies,Ana Huang,2022,4.32,57535
Ransom,Julie Garwood,1999,4.32,33842
Us,Sarina Bowen,2016,4.32,26412
Burn for Me,Ilona Andrews,2014,4.32,53398
Felix Ever After,Kacen Callender,2020,4.32,47296
Reflected in You,Sylvia Day,2012,4.31,334677
Something Wonderful,Judith McNaught,1988,4.31,28330
Kulti,Mariana Zapata,2015,4.31,95837
Blood Promise,Richelle Mead,2009,4.31,299530
Lover Unbound,J.R. Ward,2007,4.31,129500
The Golden Lily,Richelle Mead,2012,4.31,115487
The Maddest Obsession,Danielle Lori,2019,4.31,85902
Wait for It,Mariana Zapata,2016,4.31,69159
Gone with the Wind,Margaret Mitchell,1936,4.3,1160178
The Bronze Horseman,Paullina Simons,2000,4.3,78595
Law Man,Kristen Ashley,2012,4.3,43965
Kiss of the Highlander,Karen Marie Moning,2001,4.3,41767
Perfect,Judith McNaught,1993,4.3,23473
The Sea of Tranquility,Katja Millay,2012,4.3,83835
Catching Fire,Suzanne Collins,2009,4.3,3064538
Rock Chick Rescue,Kristen Ashley,2009,4.3,36458
Before Jamaica Lane,Samantha Young,2014,4.3,42069
Paradise,Judith McNaught,1991,4.3,33238
Blood Bound,Patricia Briggs,2007,4.3,121647
The Immortal Highlander,Karen Marie Moning,2004,4.3,35973
One Foot in the Grave,Jeaniene Frost,2008,4.29,101508
The Will,Kristen Ashley,2014,4.29,29046
November 9,Colleen Hoover,2015,4.29,532191
Kiss the Sky,Krista Ritchie,2014,4.29,47515
The Love Hypothesis,Ali Hazelwood,2021,4.29,724017
The Risk,S.T. Abby,2016,4.29,73865
Hopeless,Colleen Hoover,2012,4.29,383899
The Blue Castle,L.M. Montgomery,1926,4.29,36734
Things We Never Got Over,Lucy Score,2022,4.29,175869
Him,Sarina Bowen,2015,4.29,47672
From Blood and Ash,Jennifer L. Armentrout,2020,4.29,325849
City of Glass,Cassandra Clare,2009,4.29,901506
Losing Hope,Colleen Hoover,2013,4.29,135445
Dark Needs at Night's Edge,Kresley Cole,2008,4.29,49180
The Love Hypothesis,Ali Hazelwood,2021,4.29,724017
Tower of Dawn,Sarah J. Maas,2017,4.28,246170
Sustained,Emma Chase,2015,4.28,29349
Howl’s Moving Castle,Diana Wynne Jones,1986,4.28,284025
Lead,Kylie Scott,2014,4.28,47155
Immortal in Death,J.D. Robb,1996,4.28,51583
Strange the Dreamer,Laini Taylor,2017,4.28,107451
The Wall of Winnipeg and Me,Mariana Zapata,2016,4.27,181562
The Sweet Gum Tree,Katherine Allred,2005,4.27,29341
Terms and Conditions,Lauren Asher,2022,4.27,78931
Hunting Ground,Patricia Briggs,2009,4.27,66592
The Dark Highlander,Karen Marie Moning,2002,4.27,36922
Glory in Death,J.D. Robb,1995,4.27,59298
Spell of the Highlander,Karen Marie Moning,2005,4.27,26290
No Rest for the Wicked,Kresley Cole,2006,4.27,56303
Better Than the Movies,Lynn Painter,2021,4.27,56775
The Deal,Elle Kennedy,2015,4.27,431337
Scarlet,Marissa Meyer,2013,4.26,377397
Driven,K. Bromberg,2013,4.26,59370
The Princess Bride,William Goldman,1973,4.26,852415
Twice Tempted,Jeaniene Frost,2013,4.26,41696
The Gamble,Kristen Ashley,2011,4.26,57504
Managed,Kristen Callihan,2016,4.26,31104
Opal,Jennifer L. Armentrout,2012,4.26,143863
This Side of the Grave,Jeaniene Frost,2011,4.26,61607
Branded by Fire,Nalini Singh,2009,4.26,31242
Addicted for Now,Krista Ritchie,2013,4.26,42708
Me Before You,Jojo Moyes,2012,4.26,1436094
Illuminae,Amie Kaufman,2015,4.25,141918
Onyx,Jennifer L. Armentrout,2012,4.25,171763
The Raven King,Maggie Stiefvater,2016,4.25,129859
Outlander,Diana Gabaldon,1991,4.25,957461
The Secret,Julie Garwood,1992,4.25,49646
Bloodfever,Karen Marie Moning,2007,4.25,103842
Lovely War,Julie Berry,2019,4.25,44230
Saving Grace,Julie Garwood,1993,4.25,26972
Until You,Penelope Douglas,2013,4.25,48336
Devil in Winter,Lisa Kleypas,2006,4.24,77013
The Fiery Cross,Diana Gabaldon,2001,4.24,195915
Rebecca,Daphne du Maurier,1938,4.24,556837
Valley of Silence,Nora Roberts,2006,4.24,28563
Point of Retreat,Colleen Hoover,2012,4.24,163696
Daisy Jones & The Six,Taylor Jenkins Reid,2019,4.24,740691
Prodigy,Marie Lu,2013,4.24,241293
City of Lost Souls,Cassandra Clare,2012,4.23,493192
The Bride,Julie Garwood,1989,4.23,62543
Honor's Splendour,Julie Garwood,1987,4.23,31123
Night Embrace,Sherrilyn Kenyon,2003,4.23,58839
The ​Crown of Gilded Bones,Jennifer L. Armentrout,2021,4.23,160403
Play of Passion,Nalini Singh,2010,4.23,27951
Twisted Perfection,Abbi Glines,2013,4.23,66094
Ugly Love,Colleen Hoover,2014,4.22,929379
Beauty from Pain,Georgia Cates,2013,4.22,55542
Egomaniac,Vi Keeland,2017,4.22,44747
The Prize,Julie Garwood,1991,4.22,29102
The Witness,Nora Roberts,2012,4.22,75491
